Channel,Neighbors
0,"1,3"
1,"0,2"
2,"1,4"
3,"0,7,6,8"
4,"2,11,12,10"
5,"6,15,14"
6,"3,7,16,15,14,5"
7,"3,8,6,17,16,15"
8,"3,7,9,18,16,17"
9,"8,10,17,19,18"
10,"9,11,4,18,19,20"
11,"4,10,12,19,20,21"
12,"4,11,20,21,22,13"
13,"12,21,22"
14,"6,5,15,24,23"
15,"7,6,5,16,14,25,24,23"
16,"8,7,6,17,15,26,25,24"
17,"9,18,27,26,25,16,7,8"
18,"8,9,10,19,28,27,26,17"
19,"10,11,20,29,28,27,18,9"
20,"11,12,21,30,29,28,19,10"
21,"12,13,22,31,30,29,20,11"
22,"13,12,21,30,31"
23,"14,15,24,33,32"
24,"15,16,25,34,33,32,23,14"
25,"16,17,26,35,34,33,24,15"
26,"17,18,27,36,35,34,25,16"
27,"18,19,28,37,36,35,26,17"
28,"19,20,29,38,37,36,27,18"
29,"20,21,30,39,38,37,28,19"
30,"21,22,31,40,39,38,29,20"
31,"22,40,39,30,21"
32,"23,24,33,42,41"
33,"24,25,34,43,42,41,32,23"
34,"25,26,35,44,43,42,33,24"
35,"26,27,36,45,44,43,34,25"
36,"27,28,37,46,45,44,35,26"
37,"28,29,38,47,46,45,36,27"
38,"29,30,39,48,47,46,37,28"
39,"30,31,40,49,48,47,38,29"
40,"31,49,48,39,30"
41,"32,33,42,50"
42,"33,34,43,51,50,41,32"
43,"34,35,44,52,51,42,33"
44,"35,36,45,53,52,51,43,34"
45,"36,37,46,54,53,52,44,35"
46,"37,38,47,55,54,53,45,36"
47,"38,39,48,55,54,46,37"
48,"39,40,49,56,55,47,38"
49,"40,56,48,39"
50,"41,42,51,57"
51,"43,44,52,57,50,42"
52,"44,45,53,58,51,43"
53,"44,45,46,52,59,54"
54,"45,46,47,55,53,60"
55,"47,48,56,61,54,46"
56,"49,61,55,48"
57,"50,51,58"
58,"52,59,57"
59,"53,58,60"
60,"54,61,59"
61,"56,55,60"
